id_order,brand_cat
355236,Unknown - Unknown
355734,Apple - tablet
355804,Wacom - tablet
355859,Apple - smartphone
355892,Wacom - tablet
355904,Pack - pc
355920,Apple - pc
355902,Service - service
356021,Apple - laptop
356510,Apple - tablet
355892,Apple - pc
356743,Wacom - tablet
356830,Apple - tablet
356830,Trascend - other
356901,Trascend - other
356911,Apple - laptop
357066,Service - service
357414,Apple - tablet
357416,Pack - pc
344058,Pack - pc
357595,Apple - smartwhatch
357595,Apple - smartphone
357625,Wacom - tablet
357762,Apple - laptop
357762,Unknown - Unknown
357868,Apple - laptop
357868,Unknown - Unknown
357882,Apple - tablet
357883,Apple - laptop
357883,Unknown - Unknown
349712,Apple - laptop
351016,Apple - pc
351016,Unknown - Unknown
357941,Pack - pc
357941,Unknown - Unknown
358030,Apple - smartphone
358030,Apple - extended warranty
358105,Apple - laptop
358105,Unknown - Unknown
356975,Apple - pc
356975,Unknown - Unknown
358293,Apple - laptop
358293,Unknown - Unknown
358294,Apple - laptop
358294,Unknown - Unknown
358341,Service - service
358383,Eizo - display
358365,Service - service
358383,LG - display
358452,Apple - tablet
358446,Apple - pc
358446,Apple - extended warranty
358446,Unknown - Unknown
358631,Apple - pc
358631,Apple - extended warranty
358633,Apple - smartphone
358633,Apple - extended warranty
358631,Apple - laptop
358679,Dell - display
358708,Apple - smartphone
358750,Apple - tablet
358750,Apple - extended warranty
358778,Apple - tablet
358778,Apple - smartphone
358812,Wacom - tablet
358812,Apple - laptop
358812,Unknown - Unknown
358899,Apple - laptop
358899,Unknown - Unknown
358988,Apple - smartphone
359004,Apple - laptop
359004,Unknown - Unknown
359004,Dell - display
359122,Apple - laptop
359122,Unknown - Unknown
359165,Wacom - tablet
359325,Apple - other
359326,Apple - laptop
359326,Unknown - Unknown
359351,Withings - display
359444,Apple - smartphone
359470,Apple - smartphone
359591,Apple - smartphone
359835,Apple - smartphone
359988,Apple - laptop
359998,Apple - laptop
359998,Wacom - tablet
360160,Pack - pc
360160,Apple - laptop
360203,Dell - display
360390,Apple - smartphone
360505,Apple - tablet
360517,Service - service
360544,Apple - laptop
360564,Apple - smartphone
360594,Pack - pc
360610,Apple - tablet
359873,LG - display
354730,Service - service
344322,Apple - smartphone
361002,Apple - laptop
361075,Unknown - Unknown
361267,Apple - tablet
361715,Apple - smartphone
361717,Dell - display
361767,Apple - smartphone
361819,Apple - smartphone
362331,Apple - tablet
362336,Apple - smartphone
362563,Unknown - Unknown
362737,Wacom - tablet
362869,Service - service
362880,Apple - pc
363041,Pack - pc
363041,LG - display
355063,Apple - laptop
363154,Apple - laptop
363154,Microsoft - software
363267,Dell - display
363269,Apple - pc
361640,Pack - pc
363277,Apple - pc
363465,Apple - smartphone
363465,Apple - extended warranty
359168,Unknown - Unknown
361861,Apple - laptop
362900,Apple - pc
363810,Apple - laptop
363810,Apple - extended warranty
363825,Apple - tablet
355020,Pack - pc
360094,Apple - tablet
